2026-09-11T17:36:29.319Z {"action":"login_success","userId":"U-ADMIN","username":"admin","ip":"::ffff:127.0.0.1"}
2026-09-11T17:45:22.382Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:23.796Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:23.796Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:39.207Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:39.210Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:39.314Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:45:39.328Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:45:39.338Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:45:39.343Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:45:40.007Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:40.744Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:41.482Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:42.255Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:43.005Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:43.759Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:43.759Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:44.512Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:45.775Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:45.780Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:45.818Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:45:45.835Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:45:45.851Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:45:45.856Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:45:46.459Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:47.203Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
